id,sort,name,skill_id,type,quality,entry1_type,entry1_value_type,easy_txt_1,entry1_value,entry2_type,entry2_value_type,easy_txt_2,entry2_value,entry3_type,entry3_value_type,easy_txt_3,entry3_value,entry4_type,entry4_value_type,easy_txt_4,entry4_value,talent_skill_atlas,talent_skill_icon
v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:string,v:number,v:string,v:string
天赋,序号,名称,挂靠技能id,基础职业,品阶,词条id,词条数值类型,天赋描述1,词条数值,词条id,词条数值类型,天赋描述2,词条数值,词条id,词条数值类型,天赋描述3,词条数值,词条id,词条数值类型,天赋描述4,词条数值,图集,图标
12001,1,战意,210201,1,2,2,1,护甲<Color=#2ba605>+5%</Color>,5,,,,,,,,,,,,,,
12002,2,成长,210302,1,2,2,1,护甲<Color=#2ba605>+6%</Color>,6,,,,,,,,,,,,,,
12003,3,坚强,210203,1,2,2,1,护甲<Color=#2ba605>+7%</Color>,7,,,,,,,,,,,,,,
12004,4,守护屏障,210104,1,2,2,1,护甲<Color=#2ba605>+8%</Color>,8,,,,,,,,,,,,,,
12005,5,连击,210205,1,2,2,1,护甲<Color=#2ba605>+9%</Color>,9,,,,,,,,,,,,,,
12006,6,战意,210201,1,2,3,1,生命<Color=#2ba605>+5%</Color>,5,,,,,,,,,,,,,,
12007,7,成长,210302,1,2,3,1,生命<Color=#2ba605>+6%</Color>,6,,,,,,,,,,,,,,
12008,8,坚强,210203,1,2,3,1,生命<Color=#2ba605>+7%</Color>,7,,,,,,,,,,,,,,
12009,9,守护屏障,210104,1,2,3,1,生命<Color=#2ba605>+8%</Color>,8,,,,,,,,,,,,,,
12010,10,连击,210205,1,2,3,1,生命<Color=#2ba605>+9%</Color>,9,,,,,,,,,,,,,,
12011,11,战意,210201,1,2,1,1,攻击<Color=#2ba605>+5%</Color>,5,,,,,,,,,,,,,,
12012,12,成长,210302,1,2,1,1,攻击<Color=#2ba605>+6%</Color>,6,,,,,,,,,,,,,,
12013,13,坚强,210203,1,2,1,1,攻击<Color=#2ba605>+7%</Color>,7,,,,,,,,,,,,,,
12014,14,守护屏障,210104,1,2,1,1,攻击<Color=#2ba605>+8%</Color>,8,,,,,,,,,,,,,,
12015,15,连击,210205,1,2,1,1,攻击<Color=#2ba605>+9%</Color>,9,,,,,,,,,,,,,,
13016,16,刃甲,210306,1,3,2,1,护甲<Color=#2ba605>+10%</Color>,10,1,1,攻击<Color=#2ba605>+10%</Color>,10,,,,,,,,,,
13017,17,校准,210107,1,3,2,1,护甲<Color=#2ba605>+11%</Color>,11,4,1,韧性<Color=#2ba605>+11%</Color>,11,,,,,,,,,,
13018,18,冲击,210108,1,3,2,1,护甲<Color=#2ba605>+12%</Color>,12,5,1,暴击<Color=#2ba605>+11%</Color>,11,,,,,,,,,,
13019,19,践踏,210209,1,3,2,1,护甲<Color=#2ba605>+13%</Color>,13,6,1,治疗效果<Color=#2ba605>+13%</Color>,13,,,,,,,,,,
13020,20,重击,210110,1,3,2,1,护甲<Color=#2ba605>+14%</Color>,14,7,1,暴击伤害<Color=#2ba605>+11%</Color>,11,,,,,,,,,,
13021,21,刃甲,210306,1,3,3,1,生命<Color=#2ba605>+10%</Color>,10,10,1,命中<Color=#2ba605>+14%</Color>,14,,,,,,,,,,
13022,22,校准,210107,1,3,3,1,生命<Color=#2ba605>+11%</Color>,11,12,1,闪避<Color=#2ba605>+14%</Color>,14,,,,,,,,,,
13023,23,冲击,210108,1,3,3,1,生命<Color=#2ba605>+12%</Color>,12,1,1,攻击<Color=#2ba605>+12%</Color>,12,,,,,,,,,,
13024,24,践踏,210209,1,3,3,1,生命<Color=#2ba605>+13%</Color>,13,4,1,韧性<Color=#2ba605>+10%</Color>,10,,,,,,,,,,
13025,25,重击,210110,1,3,3,1,生命<Color=#2ba605>+14%</Color>,14,5,1,暴击<Color=#2ba605>+10%</Color>,10,,,,,,,,,,
13026,26,刃甲,210306,1,3,6,1,治疗效果<Color=#2ba605>+10%</Color>,10,6,1,治疗效果<Color=#2ba605>+12%</Color>,12,,,,,,,,,,
13027,27,校准,210107,1,3,6,1,治疗效果<Color=#2ba605>+11%</Color>,11,7,1,暴击伤害<Color=#2ba605>+12%</Color>,12,,,,,,,,,,
13028,28,冲击,210108,1,3,6,1,治疗效果<Color=#2ba605>+12%</Color>,12,10,1,命中<Color=#2ba605>+12%</Color>,12,,,,,,,,,,
13029,29,践踏,210209,1,3,6,1,治疗效果<Color=#2ba605>+13%</Color>,13,12,1,闪避<Color=#2ba605>+13%</Color>,13,,,,,,,,,,
13030,30,重击,210110,1,3,6,1,治疗效果<Color=#2ba605>+14%</Color>,14,1,1,攻击<Color=#2ba605>+14%</Color>,14,,,,,,,,,,
14031,31,蛮牛冲撞,210311,1,4,2,1,护甲<Color=#2ba605>+20%</Color>,20,26,1,利刃属性<Color=#2ba605>+20%</Color>,20,1,1,攻击<Color=#2ba605>+15%</Color>,15,,,,,,
14032,32,不可阻挡,210112,1,4,2,1,护甲<Color=#2ba605>+21%</Color>,21,27,1,钝器属性<Color=#2ba605>+21%</Color>,21,4,1,韧性<Color=#2ba605>+16%</Color>,16,,,,,,
14033,33,战争咆哮,210213,1,4,2,1,护甲<Color=#2ba605>+22%</Color>,22,29,1,短枪属性<Color=#2ba605>+22%</Color>,22,5,1,暴击<Color=#2ba605>+16%</Color>,16,,,,,,
14034,34,意志护盾,210314,1,4,2,1,护甲<Color=#2ba605>+23%</Color>,23,35,1,重甲属性<Color=#2ba605>+23%</Color>,23,6,1,治疗效果<Color=#2ba605>+18%</Color>,18,,,,,,
14035,35,横扫,210115,1,4,2,1,护甲<Color=#2ba605>+24%</Color>,24,37,1,头盔属性<Color=#2ba605>+24%</Color>,24,7,1,暴击伤害<Color=#2ba605>+17%</Color>,17,,,,,,
14036,36,反击,210216,1,4,2,1,护甲<Color=#2ba605>+25%</Color>,25,40,1,重装裤属性<Color=#2ba605>+20%</Color>,20,10,1,命中<Color=#2ba605>+15%</Color>,15,,,,,,
14037,37,致命打击,210317,1,4,2,1,护甲<Color=#2ba605>+26%</Color>,26,42,1,靴子属性<Color=#2ba605>+21%</Color>,21,12,1,闪避<Color=#2ba605>+16%</Color>,16,,,,,,
14038,38,坚韧体格,210118,1,4,2,1,护甲<Color=#2ba605>+27%</Color>,27,46,1,投掷属性<Color=#2ba605>+20%</Color>,20,1,1,攻击<Color=#2ba605>+17%</Color>,17,,,,,,
14039,39,顽强成长,210219,1,4,2,1,护甲<Color=#2ba605>+28%</Color>,28,26,1,利刃属性<Color=#2ba605>+21%</Color>,21,4,1,韧性<Color=#2ba605>+18%</Color>,18,,,,,,
14040,40,双重重击,210320,1,4,2,1,护甲<Color=#2ba605>+29%</Color>,29,27,1,钝器属性<Color=#2ba605>+22%</Color>,22,5,1,暴击<Color=#2ba605>+18%</Color>,18,,,,,,
