level,exp,exp_r,exp_sr,exp_ssr,equip_lv,dismissal_cost
v:number,v:number,v:number,v:number,v:number,v:number,v:number
英雄等级,经验-N品质,经验-R品质,经验-SR品质,经验-SSR品质,装备阶级,解雇花费钻石
1,0,0,0,0,1,2
2,75,113,150,339,1,4
3,150,225,300,675,2,8
4,400,600,800,1800,2,12
5,1005,1508,2010,4524,2,18
6,1627,2441,3254,7323,3,26
7,2455,3683,4910,11049,3,34
8,3526,5289,7052,15867,3,42
9,4884,7326,9768,21978,4,50
10,6578,9867,13156,29601,4,58
11,8666,12999,17332,38997,4,66
12,11215,16823,22430,50469,5,74
13,14300,21450,28600,64350,5,82
14,18012,27018,36024,81054,5,90
15,22453,33680,44906,101040,5,98
16,27740,41610,55480,124830,6,106
17,34009,51014,68018,153042,6,114
18,41418,62127,82836,186381,6,122
19,50147,75221,100294,225663,7,130
20,60404,90606,120808,271818,7,138
21,72426,108639,144852,325917,7,146
22,86490,129735,172980,389205,8,154
23,102910,154365,205820,463095,8,162
24,122048,183072,244096,549216,8,170
25,144323,216485,288646,649455,8,178
26,170211,255317,340422,765951,9,186
27,200261,300392,400522,901176,9,194
28,235104,352656,470208,1057968,9,202
29,275462,413193,550924,1239579,10,210
30,322165,483248,644330,1449744,10,218
31,376162,564243,752324,1692729,10,226
32,438546,657819,877092,1973457,10,234
33,510565,765848,1021130,2297544,10,242
34,593652,890478,1187304,2671434,10,250
35,689449,1034174,1378898,3102522,10,258
36,799837,1199756,1599674,3599268,10,266
37,926973,1390460,1853946,4171380,10,274
38,1073325,1609988,2146650,4829964,10,282
39,1241721,1862582,2483442,5587746,10,290
40,1435402,2153103,2870804,6459309,10,298
41,1612226,2418339,3224452,7255017,10,306
42,1793264,2689896,3586528,8069688,10,314
43,1974302,2961453,3948604,8884359,10,322
44,2155340,3233010,4310680,9699030,10,330
45,2336378,3504567,4672756,10513701,10,338
46,2517416,3776124,5034832,11328372,10,346
47,2698454,4047681,5396908,12143043,10,354
48,2879492,4319238,5758984,12957714,10,362
49,3060530,4590795,6121060,13772385,10,370
50,3241568,4862352,6483136,14587056,10,378
