id,reward_group,reward_sequence,cumulative_times,reward_type1,reward_name1,reward_item_id1,reward_item_num1,reward_type2,reward_name2,reward_item_id2,reward_item_num2,reward_type3,reward_name3,reward_item_id3,reward_item_num3
v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:string,v:number,v:number
奖励id,奖励组ID,奖励序号,需求累计次数,奖励种类-item类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包),奖励名字,道具ID,奖励数量,奖励种类-item类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包),奖励名字,道具ID,奖励数量,奖励种类-item类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包),奖励名字,道具ID,奖励数量
1,1,1,10,18,高级训练卡,150005,2,-1,-1,-1,-1,-1,-1,-1,-1
2,1,2,50,24,高级战斗手册,130302,3,-1,-1,-1,-1,-1,-1,-1,-1
3,1,3,100,19,精英转职证书,90011,5,-1,-1,-1,-1,-1,-1,-1,-1
4,2,1,20,18,高级训练卡,150005,5,-1,-1,-1,-1,-1,-1,-1,-1
5,2,2,60,24,高级战斗手册,130302,6,-1,-1,-1,-1,-1,-1,-1,-1
6,2,3,110,19,王牌转职证书,90012,5,-1,-1,-1,-1,-1,-1,-1,-1
7,3,1,30,18,高级训练卡,150005,8,-1,-1,-1,-1,-1,-1,-1,-1
8,3,2,70,24,高级战斗手册,130302,9,-1,-1,-1,-1,-1,-1,-1,-1
9,3,3,120,19,王牌转职证书,90012,5,-1,-1,-1,-1,-1,-1,-1,-1
10,4,1,40,18,高级训练卡,150005,10,-1,-1,-1,-1,-1,-1,-1,-1
11,4,2,80,19,王牌转职证书,90012,5,-1,-1,-1,-1,-1,-1,-1,-1
12,4,3,130,19,传奇转职证书,90013,5,-1,-1,-1,-1,-1,-1,-1,-1
13,5,1,50,18,高级训练卡,150005,10,-1,-1,-1,-1,-1,-1,-1,-1
14,5,2,90,19,王牌转职证书,90012,7,-1,-1,-1,-1,-1,-1,-1,-1
15,5,3,140,19,传奇转职证书,90013,10,-1,-1,-1,-1,-1,-1,-1,-1
16,6,1,60,18,高级训练卡,150005,12,-1,-1,-1,-1,-1,-1,-1,-1
17,6,2,100,19,王牌转职证书,90012,10,-1,-1,-1,-1,-1,-1,-1,-1
18,6,3,150,19,传奇转职证书,90013,15,-1,-1,-1,-1,-1,-1,-1,-1
