id,lv_min,lv_max,reward_group,type,rarity,name,item_id,item_num,probability,get_repeatedly
v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number
奖励id,店主等级下限,店主等级上限,奖励组ID,奖励种类-item类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包),奖励稀有度（1-普通奖励；2-稀有；3-超稀有）,奖励名字,道具ID,奖励数量,获得权重,是否可以重复抽取1-可以；2-不可以
10001,3,10,1,20,1,便携交通工具,130001,1,400,1
10002,3,10,1,20,1,轻型机动车,130002,1,250,1
10003,3,10,1,21,1,初级探测器,130100,1,400,1
10004,3,10,1,21,1,中级探测器,130101,1,250,1
10005,3,10,1,22,1,初级战斗辅助器,130200,1,400,1
10006,3,10,1,22,1,中级战斗辅助器,130201,1,250,1
10007,3,10,1,24,1,初级战斗手册,130300,1,400,1
10008,3,10,1,24,1,中级战斗手册,130301,1,250,1
10009,3,10,1,18,1,初级训练卡,150003,1,400,1
10010,3,10,1,18,1,中级训练卡,150004,1,150,1
10011,3,10,1,25,1,维修工具,130400,1,400,1
10012,3,10,1,23,1,功能饮料,150002,1,400,1
10013,3,10,1,17,2,幸运转盘,140001,1,500,1
10014,3,10,1,23,2,恢复药水,150001,1,200,1
10015,3,10,1,18,2,高级训练卡,150005,1,100,1
10016,3,10,1,24,2,高级战斗手册,130302,1,200,1
10017,3,10,1,17,2,幸运转盘,140001,1,100,1
10018,3,10,1,22,2,高级战斗辅助器,130202,1,150,1
10019,3,10,1,21,2,高级探测器,130102,1,150,1
10020,3,10,1,20,2,大型机动车,130003,1,150,1
10021,3,10,1,2,2,金条,10002,88,30,1
10022,3,10,1,2,2,金条,10002,128,25,1
10023,3,10,1,2,2,金条,10002,188,20,1
10024,3,10,1,2,2,金条,10002,288,15,1
10025,3,10,1,18,2,高级训练卡,150005,1,100,1
10026,3,10,1,24,2,高级战斗手册,130302,1,150,1
10027,3,10,1,22,2,高级战斗辅助器,130202,1,200,1
10028,3,10,1,21,2,高级探测器,130102,1,200,1
10029,3,10,1,4,2,图纸碎片,10004,5,100,1
10030,3,10,1,4,2,图纸碎片,10004,3,250,1
10031,3,10,1,8,2,沉重的行李箱,50001,1,150,1
10032,3,10,1,1,3,大量新币,10001,30,80,1
10033,3,10,1,9,3,行李箱钥匙,60001,1,150,1
10034,3,10,1,23,2,恢复药水,150001,2,100,1
10035,3,10,1,9,3,行李箱钥匙,60001,2,80,1
10036,3,10,1,2,3,金条,10002,500,5,1
10037,3,10,1,1,3,巨量新币,10001,50,40,1
10038,11,20,1,20,1,便携交通工具,130001,1,400,1
10039,11,20,1,20,1,轻型机动车,130002,1,250,1
10040,11,20,1,21,1,初级探测器,130100,1,400,1
10041,11,20,1,21,1,中级探测器,130101,1,250,1
10042,11,20,1,22,1,初级战斗辅助器,130200,1,400,1
10043,11,20,1,22,1,中级战斗辅助器,130201,1,250,1
10044,11,20,1,24,1,初级战斗手册,130300,1,400,1
10045,11,20,1,24,1,中级战斗手册,130301,1,250,1
10046,11,20,1,18,1,高级训练卡,150005,3,400,1
10047,11,20,1,18,1,小型经验箱,150006,1,150,1
10048,11,20,1,25,1,维修工具,130400,1,400,1
10049,11,20,1,23,1,功能饮料,150002,1,400,1
10050,11,20,1,17,2,幸运转盘,140001,1,500,1
10051,11,20,1,23,2,恢复药水,150001,1,200,1
10052,11,20,1,18,2,中型经验箱,150007,1,100,1
10053,11,20,1,24,2,高级战斗手册,130302,1,200,1
10054,11,20,1,17,2,幸运转盘,140001,1,100,1
10055,11,20,1,22,2,高级战斗辅助器,130202,1,150,1
10056,11,20,1,21,2,高级探测器,130102,1,150,1
10057,11,20,1,20,2,大型机动车,130003,1,150,1
10058,11,20,1,2,2,金条,10002,88,30,1
10059,11,20,1,2,2,金条,10002,128,25,1
10060,11,20,1,2,2,金条,10002,188,20,1
10061,11,20,1,2,2,金条,10002,288,15,1
10062,11,20,1,18,2,小型经验箱,150006,2,100,1
10063,11,20,1,24,2,高级战斗手册,130302,1,150,1
10064,11,20,1,22,2,高级战斗辅助器,130202,1,200,1
10065,11,20,1,21,2,高级探测器,130102,1,200,1
10066,11,20,1,4,2,图纸碎片,10004,5,100,1
10067,11,20,1,4,2,图纸碎片,10004,3,250,1
10068,11,20,1,8,2,沉重的行李箱,50001,1,150,1
10069,11,20,1,8,2,军用补给箱,50002,1,150,1
10070,11,20,1,1,3,大量新币,10001,30,80,1
10071,11,20,1,9,3,行李箱钥匙,60001,1,150,1
10072,11,20,1,23,2,恢复药水,150001,2,100,1
10073,11,20,1,9,3,行李箱钥匙,60001,2,100,1
10074,11,20,1,9,3,补给箱钥匙,60002,2,80,1
10075,11,20,1,2,3,金条,10002,500,5,1
10076,11,20,1,1,3,巨量新币,10001,50,40,1
10077,21,30,1,20,1,便携交通工具,130001,1,500,1
10078,21,30,1,20,1,轻型机动车,130002,1,350,1
10079,21,30,1,21,1,初级探测器,130100,1,500,1
10080,21,30,1,21,1,中级探测器,130101,1,350,1
10081,21,30,1,22,1,初级战斗辅助器,130200,1,500,1
10082,21,30,1,22,1,中级战斗辅助器,130201,1,350,1
10083,21,30,1,24,1,初级战斗手册,130300,1,500,1
10084,21,30,1,24,1,中级战斗手册,130301,1,350,1
