id,monster_name,action_id,equip_type,monster_lv,monster_type,monster_ethnicity,monster_story,monster_atlas,monster_icon,monster_model,hp_basic,atk_basic,def_basic,spd_basic,acc_basic,dodge_basic,cri_basic,tough_basic,piercing_dmg,burn_dmg,ment_dmg,electricity_dmg,radiation_dmg,piercing_res,burn_res,ment_res,electricity_res,radiation_res,id_skill1,id_skill2,id_skill3,opening_dialog_id,skill_dialog_id,fail_dialog_id,if_close_combat
v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:string,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,list:number,list:number,list:number,v:number
怪物ID,怪物名称,怪物动作id,装备类型：1-利刃，2-钝器，3-弓弩，4-轻型武器，5-步枪，6-重型武器，7-狙击枪，8-霰弹枪，9-boss怪，10-僵尸怪,怪物等级,怪物类型：1-普通怪物/2-BOSS,怪物种族：1-人形怪/2-丧尸怪/3-巨型怪,怪物介绍,图集,图标,模型-outward _database的id,基础生命,基础攻击,基础护甲,基础速度,基础命中,基础闪避,基础暴击,基础韧性,穿刺伤害,燃烧伤害,精神伤害,电击伤害,辐射伤害,穿刺抗性,燃烧抗性,精神抗性,电击抗性,辐射抗性,一技能ID,二技能ID,三技能ID,出战对话id随机组,释放技能对话id随机组,失败随机对话id组,是否近身攻击（0-否，1-是）
1000,劫掠者,50000,1,1,1,1,,portrait_atlas,renxingguai_ailizhishu,1000,15,45,2,5,10,4,5,5,0,0,0,0,0,0,0,0,0,0,11001,,,,108050:108051,,1
1001,劫掠者,50000,1,2,1,1,,portrait_atlas,renxingguai_ailizhishu,1000,132,57,3,5,10,4,10,10,0,0,0,0,0,0,0,0,0,0,11001,,,,108050:108051,,1
1002,劫掠者,50000,1,3,1,1,,portrait_atlas,renxingguai_ailizhishu,1000,168,64,3,5,20,7,15,15,0,0,0,0,0,0,0,0,0,0,11001,,,,108050:108051,,1
1003,劫掠者,50000,1,4,1,1,,portrait_atlas,renxingguai_ailizhishu,1000,210,72,4,5,20,7,20,20,0,0,0,0,0,0,0,0,0,0,11001,,,,108050:108051,,1
1004,劫掠者,50000,1,5,1,1,,portrait_atlas,renxingguai_ailizhishu,1000,361,103,6,5,30,10,25,25,0,0,0,0,0,0,0,0,0,0,11001,,,,108050:108051,,1
1005,劫掠者,50000,1,6,1,1,,portrait_atlas,renxingguai_ailizhishu,1000,431,117,7,5,30,10,30,30,0,0,0,0,0,0,0,0,0,0,11001,,,,108050:108051,,1
1006,劫掠者,50000,1,7,1,1,,portrait_atlas,renxingguai_ailizhishu,1000,507,131,8,5,30,10,35,35,0,0,0,0,0,0,0,0,0,0,11001,,,,108050:108051,,1
1007,劫掠者,50000,1,8,1,1,,portrait_atlas,renxingguai_ailizhishu,1000,597,147,10,5,40,13,40,40,0,0,0,0,0,0,0,0,0,0,11001,,,,108050:108051,,1
1008,劫掠者,50000,1,9,1,1,,portrait_atlas,renxingguai_ailizhishu,1000,691,165,11,5,40,13,45,45,0,0,0,0,0,0,0,0,0,0,11001,,,,108050:108051,,1
1009,劫掠者,50000,1,10,1,1,,portrait_atlas,renxingguai_ailizhishu,1000,1230,217,17,5,50,16,50,50,0,0,0,0,0,0,0,0,0,0,11001,,,,108050:108051,,1
1010,劫掠者,50000,1,11,1,1,,portrait_atlas,renxingguai_ailizhishu,1000,1411,243,19,5,50,16,55,55,0,0,0,0,0,0,0,0,0,0,11001,,,,108050:108051,,1
1011,劫掠者,50000,1,12,1,1,,portrait_atlas,renxingguai_ailizhishu,1000,1597,269,21,5,50,16,60,60,0,0,0,0,0,0,0,0,0,0,11001,,,,108050:108051,,1
