ID,name,desc,
v:number,v:number,v:string,
序号,文件名,介绍,
1,MU_Gameplay_Navigation_Long_02,商店白天背景音乐,
2,MU_Gameplay_Navigation_Long_02,商店晚上背景音乐,
3,MU_Gameplay_Navigation_Long_03,城市背景音乐,
4,SFX_HUD_Menu_Open,通用编辑器内点击建筑,
7,SFX_HUD_Roulette_Tick,通用页面内小标签切换,
8,1_SFX_FirstButton_Open,点击按钮打开选择界面(角色;物品栏;设计界面内形象，家具;制造等),
9,2_SFX_FirstButton_Close,点击按钮关闭选择界面(角色;物品栏;设计界面内形象，家具;制造等),
10,3_SPX_SecondButton_Open,点击按钮打开二级界面(店主界面，任务界面等),
11,4_SPX_SecondButton_Close,点击按钮关闭二级界面(店主界面，任务界面等),
12,5_SPX_ThirdButton,通用点击左右切换按钮,
13,6_SPX_Nickname,改名成功音效,
14,7_SPX_OpenDoor,打开店主换装界面和英雄捏脸界面,
15,8_SPX_CloseDoor,关闭店主换装界面和英雄捏脸界面,
16,SFX_HUD_TavernIcon_01,店主换装界面和英雄捏脸界面背景音效,
17,SFX_Bag_Lengendary,店主换装点击选项卡,
18,9_SPX_Update,通用升级音效（建筑、英雄升级）,
19,29_SPX_Equipment_Wear,货架摆上物品，英雄穿上装备音效,
20,28_SPX_Delete,货架卸下物品，英雄脱下装备音效,
21,21_SPX_Furniture,编辑器点击家具，点击左右切换家具音效,
22,21_SPX_Furniture,家具旋转,
23,21_SPX_Furniture,更改位置后，摆下建筑,
24,27_SPX_Furniture_Upgrate_Begin,家具开始升级,
25,26_SPX_Furniture_Upgrate_Finsh,家具升级完成,
26,SFX_Gameplay_StoreItem_01,物品离开仓库音效,
27,SFX_Gameplay_Character_ItemBubble_01_BIS,顾客进入商店,
28,44_SPX_CustomerBubble_StartShow,顾客对话气泡自动弹出音效,
29,45_SPX_CustomerBubble_Click,点击对话气泡后弹出音效,
30,SFX_Shop_LeatherBin_Collect_01_WITHOUT,点击闲聊按钮后音效,
31,SFX_Gameplay_Tavern_MissionReady_1,能量增加音效,
32,SFX_HUD_Cauldron_Fusion_Failed,能量减少音效,
33,50_SPX_NewDollor,金币增长,
34,50_SPX_NewDollor,金币减少,
35,SFX_Gameplay_Tavern_HeroesSelect_01,点击勇士：钻石对话气泡后背景乐,
36,SFX_Gameplay_Tavern_HeroesSelect_02,点击勇士：罗德对话气泡后背景乐,
37,SFX_Gameplay_Tavern_HeroesSelect_03,点击勇士：艾莉亚对话气泡后背景乐,
38,15_SPX_Equipment_Craft,制造装备,
39,43_SPX_Material_Shortage,材料不足，无法制造,
40,16_SPX_Equipment_Finish,制造完成,
41,17_SPX_Equipment_Receive,铁制装备摆放货架，进入仓库音效,
42,SFX_Shop_LeatherBin_Collect_01_WITHOUT,非铁制装备摆放货架，进入仓库音效,
43,37_SPX_HighQualityEquipment_receive,点击收取按钮，获得高品质装备,
44,skill_audio,怒气技能释放音效,
45,skill_dao,普攻动作音效-近战短武器,
46,skill_dunqi,普攻动作音效-近战长武器，暂无资源,
47,skill_gongjian,普攻动作音效-远程弓,
48,skill_shouqiang,普攻动作音效-远程手枪,
49,skill_changqiang,普攻动作音效-远程长枪,
50,skill_dao,技能动作音效-近战短武器,
51,skill_dao,技能动作音效-近战长武器,
52,skill_gongjian,技能动作音效-远程弓,
53,skill_shouqiang,技能动作音效-远程手枪,
54,skill_dapao,技能动作音效-远程长枪,
55,skill_shouji_dao,受击音效-近战短武器,
56,skill_shouji_dao,受击音效-近战长武器,
57,skill_shouji_dao,受击音效-远程弓,
58,skill_shouji_dao,受击音效-远程手枪,
59,skill_shouji_dao,受击音效-远程长枪,
60,SFX_battle_victory,胜利音效,
61,battle_failed,失败音效,
62,,,
63,SFX_qipao,,
64,SFX_xiuli,,
65,SFX_xianliao,点击闲聊按钮后音效,
66,MU_Gameplay_BattleScene_bgm,战斗场景背景音乐,
67,SFX_tuzhi_jihuo,新增：激活图纸音效,
68,SFX_shangdianUP,新增：升级商店音效,
69,SFX_shopperUp,新增：店主升级音效,
100,33_SPX_TresureBox_Recieve_Equipment,开启宝箱动画里获得每个道具播放一次的音效,
101,34_SPX_TresureBox_Open,开启宝箱动画开始播放的音效,
102,35_SPX_TresureBox_Switch,切换宝箱或者宝箱掉下来的音效,
103,SFX_chengjiuwancheng,主界面弹出成就完成飘动动画播放的音效,
104,57_PiggyBank,小猪储蓄罐领奖开始播放的音效,
105,22_SPX_PrizeWheel_Reset,转盘重置开始播放的音效,
106,39_SPX_HighQualityHeros_Hire,转盘抽中超稀有弹出奖励额外播放的音效,
107,24_SPX_PrizeWheel_Pointer,转盘停下来的时候，闪动绿底时播放的音效,
108,25_SPX_PrizeWheel_TurnAround,转盘转动开始播放的音效,
109,36_SPX_Bar_Refresh,酒吧卡牌转动的音效,
110,kouzhang,成就扣章音效,
111,19_SPX_Task_complete,主线任务完成音效,
112,10_SPX_Achievement,成就获得音效,
113,12_SPX_Achievement_For_Money,赚钱表彰音效,
114,SFX_furniture_upgrade,家具开始升级音效,
115,42_SPX_SignIn,签到成功音效,
116,5_SPX_ThirdButton,需增加或修改的按钮音效：1、点击主界面上方的能量；新币；金条2、店主界面-打开修改昵称界面3、外观和衣服界面，点击种类下的每个小选项4、点击物品查看详情通用音效（包括仓库；英雄等界面的大图标和抽奖等物品小图标介绍）（存在特殊音效将单独列出）5、制作界面长按装备进入图纸界面6、家具界面下排，除旋转；存放；应用外的其他按钮音效7、转盘可点击按钮音效8、点击IC卡开启和金条开启按钮；查看图纸等9、副本选择英雄；更换英雄；信息；强化道具；副本详情；点击开始探索按钮10、联盟界面：加入；退出；设置；点击联盟币和勋章；点击和接受悬赏任务；声望详情11、宠物界面：详情；装扮；选择宠物；点击喂食按钮,
117,7_SPX_OpenDoor,新增：1、解雇英雄点击确定按钮后的音效2、删除宠物点击“是”音效,
118,9_SPX_Update,新增：1、英雄升级和转职2、建筑和工艺升级3、副本升级,
119,6_SPX_Nickname,新增：1、修改英雄名字成功音效2、宠物改名,
120,11_SPX_GiftPackage,新增：1、点击礼包2、礼包自动弹出,
121,13_SPX_SwitchButton,新增：切换种类通用音效（每个界面的横排种类选项：聊天；仓库；设计；制作；自定义外观和衣服下一层级界面；任务；英雄；大亨之路天数、抽奖记录等）,
122,14_SPX_Chat,新增：1、聊天发送会话2、聊天收到会话（在聊天界面收到，非其他界面）,
123,18_SPX_Equipment_Lock,新增：锁定装备,
124,19_SPX_Task_complete,新增：1、任务完成通用音效（目标；七日；悬赏；主线等）2、任务完成后点击领取通用音效,
125,20_SPX_Number_switch,新增：点击数量增减按钮音效（投资；删装备；市场等）,
