id,shopkeeper_lv,start_time,interval_time_min,interval_time_max,npc_id,type,resource_id,daily_limit,min,max
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
序号,低于店主的指定等级不会触发,开始刷新时间(s)：距离资源用掉超过80%的时间点开始计时/类型3为从登录开始计时,刷新间隔最小值(s)：以上一个同类型NPC离开时间来计时,刷新间隔最大值(s)：以上一个同类型NPC离开时间来计时,npcid,贩卖类型 1-资源贩卖 2-副本资源贩卖 3-装备收购：不同类型分开进行计时,资源id-必须用户当前拥有的资源，并且资源少于80%（普通资源为该资源上限来计算，副本资源按照堆叠上限来计算）开始触发；在刷新冷却时间内不触发，同一时间只能触发一个,该类型每日出现次数上限,最小需求数量,最大需求数量
1,3,60,600,7200,9999,1,20001,4,,
2,3,60,600,7200,9999,1,20002,4,,
3,3,60,600,7200,9999,1,20003,4,,
4,6,60,600,7200,9999,1,20004,4,,
5,6,60,600,7200,9999,1,20005,4,,
6,6,60,600,7200,9999,1,20006,4,,
7,6,60,600,7200,9999,1,20007,4,,
8,20,60,600,7200,9999,1,20008,4,,
9,20,60,600,7200,9999,1,20009,4,,
10,20,60,600,7200,9999,1,20010,4,,
11,3,120,1200,3600,9999,2,30001,2,,
12,4,120,1200,3600,9999,2,30002,2,,
13,5,120,1200,3600,9999,2,30003,2,,
14,6,120,1200,3600,9999,2,30004,2,,
15,7,120,1200,3600,9999,2,30005,2,,
16,8,120,1200,3600,9999,2,30006,2,,
17,9,120,1200,3600,9999,2,30007,2,,
18,10,120,1200,3600,9999,2,30008,2,,
19,11,120,1200,3600,9999,2,30009,2,,
20,12,120,1200,3600,9999,2,30010,2,,
21,3,600,900,7200,9999,3,,,5,9
22,3,600,900,7200,9999,3,,,5,9
