id,type,type_des,title_cn,title_tc,title_en,title_1_cn,title_1_tc,title_1_en,title_2_cn,title_2_tc,title_2_en,txt_cn,txt_tc,txt_en,add_times,con_cn,con_tc,con_en,herald_cn,herald_tc,herald_en,add_start,add_end,type_atlas,type_icon
v:number,v:number,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:string,v:number,v:string,v:string,v:string,v:string,v:string,v:string,v:number,v:number,v:string,v:string
id,类型,说明,banner文字（简）,banner文字（繁）,banner文字（英）,大标题(简）,大标题(繁）,大标题(英）,小标题(简）,小标题(繁）,小标题(英）,BUFF说明（简）,BUFF说明（繁）,BUFF说明（英）,完成参数{0},确认文字(简）,确认文字(繁）,确认文字(英）,预告(简),预告(繁）,预告（英）,开始时间,结束时间,图集,图标
1,1,所有装备出售给顾客的价格x倍,装备出售价格提升,裝備出售價格提升,eng,物价上涨,物價上漲,eng,装备出售价格+{0}%,裝備出售價格+{0}%,eng,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,150,我仿佛闻到了钱的味道,我仿佛闻到了钱的味道,eng,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1632528060,1632614400,globalBuff_atlas,buff_01
2,2,玩家出售装备时获得的经验值x倍,店主经验获取提升,店主經驗獲取提升,eng,店主狂欢,物價上漲,eng,店主经验+{0}%,裝備出售價格+{0}%,eng,成为工匠的第一步就是学会在合适的时候进行制作。,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,200,我觉得自己成长了,我仿佛闻到了钱的味道,eng,-1,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1632614460,1632700800,globalBuff_atlas,buff_03
3,3,玩家出售装备获取的体力x倍,出售装备获取体力翻倍,出售裝備獲取體力翻倍,eng,体力加倍,物價上漲,eng,出售装备体力获取+{0}%,裝備出售價格+{0}%,eng,我们的顾客看来为我们带来了一些礼物，快去看看吧。,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,300,Get到了新的能量,我仿佛闻到了钱的味道,eng,一群特殊的客人即将来到，他们只喜欢高价物品，加价卖给他们试试吧！,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1632700860,1632787200,globalBuff_atlas,buff_07
4,4,玩家加价出售装备的价格提升x倍,加价出售装备价格提升,加價出售裝備價格提升,eng,疯狂购物,物價上漲,eng,加价出售装备价格+{0}%,裝備出售價格+{0}%,eng,最近有一群富壕来到了你的店铺，狠狠的赚他一笔。,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,150,这一波真是血赚,我仿佛闻到了钱的味道,eng,-1,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1632787260,1632873600,globalBuff_atlas,buff_02
5,5,玩家制作装备的时间缩减x倍,装备制作速度UP,裝備製作速度UP,eng,加速制作,物價上漲,eng,装备制作速度+{0}%,裝備出售價格+{0}%,eng,据说你的工人们现在状态极佳制作速度超快，但也要注意质量哦~,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,30,我的仓库吃饱了,我仿佛闻到了钱的味道,eng,壁垒来了一位高级工匠，他可以帮助我们制造高级装备，也许能做出传奇装备也说不定哦。,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1632873660,1632960000,globalBuff_atlas,buff_05
6,6,制作装备时高稀有度装备出现概率提升x倍,高稀有度装备概率提升,裝備製作速度UP,eng,匠神之日,物價上漲,eng,制作装备高品质概率+{0}%,裝備出售價格+{0}%,eng,为了能够服务更多的勇士，多制作一些稀有装备吧！,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,300,传奇与我同行,我仿佛闻到了钱的味道,eng,-1,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1632960060,1633046400,globalBuff_atlas,buff_06
7,7,生产材料生产速度x倍,资源生产速度加快,裝備製作速度UP,eng,资源特卖,物價上漲,eng,资源生产速度+{0}%,裝備出售價格+{0}%,eng,矿石？木材？布料？钢铁？你需要哪些？现在全部给你奉上。,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,150,我已蠢蠢欲动了,我仿佛闻到了钱的味道,eng,我们的工人们扫清了路途的障碍，这样冒险能快一些。,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1633046460,1633132800,globalBuff_atlas,buff_08
8,8,副本冒险时间缩减x倍,副本冒险时间缩减,裝備製作速度UP,eng,极速冒险,物價上漲,eng,副本冒险速度+{0}%,裝備出售價格+{0}%,eng,也许是奎爷神助？现在去冒险可以节省不少时间！,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,20,现在就去冒险,我仿佛闻到了钱的味道,eng,-1,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1633132860,1633219200,globalBuff_atlas,buff_09
9,9,英雄恢复速度提升:英雄休息时间减少x倍,英雄休息时间缩短,裝備製作速度UP,eng,不休之战,物價上漲,eng,英雄恢复速度+{0}%,裝備出售價格+{0}%,eng,城里来了一个非常厉害的医生，你的英雄可以更快的恢复能量。,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,50,我的字典里没有休息,我仿佛闻到了钱的味道,eng,壁垒外的敌人们似乎要开狂欢会，也许我们能获得更多的战利品也说不定。,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1633219260,1633305600,globalBuff_atlas,buff_11
10,10,副本掉落的道具x倍,副本道具掉落提升,裝備製作速度UP,eng,宝物派送,物價上漲,eng,副本道具掉落+{0}%,裝備出售價格+{0}%,eng,听说有人发现了宝藏，但没有说明具体是哪，有没有兴趣去探索一下？,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,150,探险使我快乐,我仿佛闻到了钱的味道,eng,-1,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1633305660,1633392000,globalBuff_atlas,buff_10
11,11,英雄副本冒险时获取的经验x倍,英雄冒险经验增加,裝備製作速度UP,eng,极限冒险,物價上漲,eng,英雄经验获取+{0}%,裝備出售價格+{0}%,eng,这是个冒险的好日子，快派出你所有的英雄提升一下能力吧！,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,200,出发吧小子们,我仿佛闻到了钱的味道,eng,有一群厉害的英雄慕名来到了壁垒，要不了多久我们就能在酒馆找到高级的英雄了。,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1633392060,1633478400,globalBuff_atlas,buff_04
12,12,酒馆刷新高资质英雄概率x倍,高品质英雄刷新概率增加,裝備製作速度UP,eng,英雄派对,物價上漲,eng,高品质英雄刷新概率+{0}%,裝備出售價格+{0}%,eng,没有优秀的英雄怎么能探索这广阔的世界？现在他们来了。,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,300,我的伙伴在召唤我,我仿佛闻到了钱的味道,eng,-1,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1633478460,1633564800,globalBuff_atlas,buff_13
13,13,宝箱专属道具开启概率提升x倍,宝箱专属道具出现概率up,裝備製作速度UP,eng,幸运日,物價上漲,eng,宝箱专属获取概率+{0}%,裝備出售價格+{0}%,eng,现在是赌一下运气的最好时机，何不来一发？,现在开始，装备出售价格提升，店长们快去出售你的库存吧！,eng,500,财宝正在向我呼唤,我仿佛闻到了钱的味道,eng,一场大战即将开始，届时需要大量的武器，不妨多卖点钱试试。,02壁垒即将举行店主交流会，所有参与的店主都将获得额外经验！,eng,1633564860,1633651200,globalBuff_atlas,buff_12
