id,level,exp,feeding_cost_xinbi,feeding_cost_bullion,energy
v:number,v:number,v:number,v:number,v:number,v:number
ID,宠物等级,所需经验,新币喂养花费,金条喂养花费,查看恢复能量
1,1,0,100,25,6
2,2,50,500,25,8
3,3,65,2500,25,10
4,4,80,5000,25,12
5,5,95,10000,25,14
6,6,110,20000,25,16
7,7,125,32500,25,18
8,8,140,45000,25,20
9,9,155,57500,25,22
10,10,170,70000,25,24
11,11,185,82500,25,26
12,12,200,95000,25,28
13,13,215,107500,25,30
14,14,230,120000,25,32
15,15,245,132500,25,34
16,16,260,145000,25,36
17,17,275,157500,25,38
18,18,290,170000,25,40
19,19,305,182500,25,42
20,20,320,195000,25,44
21,21,335,207500,25,46
22,22,350,220000,25,48
23,23,365,232500,25,50
24,24,380,245000,25,52
25,25,395,257500,25,54
26,26,410,270000,25,56
27,27,425,282500,25,58
28,28,440,295000,25,60
29,29,455,307500,25,62
30,30,470,320000,25,64
31,31,485,332500,25,66
32,32,500,345000,25,68
33,33,515,357500,25,70
34,34,530,370000,25,72
35,35,545,382500,25,74
36,36,560,395000,25,76
37,37,575,407500,25,78
38,38,590,420000,25,80
39,39,605,432500,25,82
40,40,620,445000,25,84
41,41,635,457500,25,86
42,42,650,470000,25,88
43,43,665,482500,25,90
44,44,680,495000,25,92
45,45,695,507500,25,94
46,46,710,520000,25,96
47,47,725,532500,25,98
48,48,740,545000,25,100
49,49,755,557500,25,102
50,50,770,570000,25,104
51,51,785,582500,25,106
52,52,800,595000,25,108
53,53,815,607500,25,110
54,54,830,620000,25,112
55,55,845,632500,25,114
56,56,860,645000,25,116
57,57,875,657500,25,118
58,58,890,670000,25,120
59,59,905,682500,25,122
60,60,920,695000,25,124
