id,type,group,index,type_des,condition_type,level,help_desc,condition_value
v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:string,v:number
id,类型：大类,类型：细分小类,序号,大类描述：,条件参数,级别和阶级,辅助描述,参数数值
1101,1,1,1,,10001,,赚5万块钱,50000
2101,2,1,1,,,,,
3101,3,1,1,,12001,2,2级柜台1个,1
4101,4,1,1,,,,,
5101,5,1,1,,,,,
7101,7,1,1,,,,,
8101,8,1,1,,,,,
9101,9,1,1,,,,,
10101,10,1,1,,,,,
11101,11,1,1,,,,,
12101,12,1,1,,,,,
13101,13,1,1,,,,,
13201,13,2,1,,,,,
17101,17,1,1,,,,,
18101,18,1,1,,,,,
19101,19,1,1,,,,,
20201,20,2,1,,,,,
15102,15,1,2,,,,,
21101,21,1,1,,,,,
22101,22,1,1,,,,,
