id,day,type,type_des,type_atlas,type_icon,parameter_1,parameter_2,parameter_3,type_reward1,reward1,reward1_number,type_reward2,reward2,reward2_number,type_reward3,reward3,reward3_number
v:number,v:number,v:number,v:string,v:string,v:string,list:number,list:number,list:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
id,对应的任务天数,任务类型:1.赚取金币:特指通过贩卖装备给顾客获得的金币数量，达到指定数量任务完成2.制作指定类的装备:指定用户制作小类的装备数量（如指定手枪，突击步枪，散弹枪等类别）3.解锁装备:解锁指定数量装备4.获取图纸:获得指定图纸5.装备等级解锁:解锁指定等级的装备6.装备精通：指定ID的装备达到大师级（精通）7.家具购买:特指指定家具的购买及购买数量（精确到单位，如购买一个木材资源篮）8.家具升级:特指指定家具到达指定等级（精确到单位，如升级一个木材资源篮到6级）9.店铺扩建:特指进行店铺扩建行为，达到指定数量任务完成。10.公会类:特指完成指定公会类行为，完成任务（如加入一个公会）11.科技升级:特指完成指定数量的科技升级，完成任务。12.建筑升级:特指完成指定数量的建筑等级提升。13.指定建筑等级:指定建筑物达到指定等级。14.英雄招募:特指招募指定数量的英雄。15.英雄转职:英雄转职总数达到指定数；16.英雄稀有度:获得指定数量的大于等于指定资质的英雄；17.装备穿戴等级:特指英雄穿戴指定数量的指定等级装备。18.副本升级:特指提升指定副本至指定等级；19.副本挑战:成功完成指定副本的指定难度的指定数量；20.增加制作槽:特指增加制作槽至指定数量21.等级提升:特指提升店主等级至指定数。22.宝箱开启数量:特指开启指定数量宝箱；23.声望提升:声望达到指定数；24.市场交易:通过市场出售指定数量的装备25.能量提升:提升能量上限至指定数26.冒险次数:成功完成指定数量的冒险次数；27.贩卖装备:向顾客出售指定数量的装备数。28.加价出售:向顾客加价贩卖指定次数。29.装备兑换:在“商品收购”任务中成功兑换指定次数的装备30、英雄等级：指定数量的英雄达到指定等级,描述,图集,图标,完成参数{0},完成参数{1},完成参数{2},类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包),奖励ID,奖励数量,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包),奖励ID,奖励数量,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度),奖励ID,奖励数量
1101,1,13,提升{0}到{1}级,StaticIcon,icon_liren2,1100,3,-1,5,20002,50,-1,-1,-1,2,10002,50
1102,1,26,成功完成探险x{0}次,StaticIcon,icon_liren2,4,-1,-1,6,30001,10,-1,-1,-1,18,150004,2
1103,1,9,扩建店铺等级至{0}级,StaticIcon,icon_liren2,3,-1,-1,1,10001,2000,-1,-1,-1,8,50001,2
1104,1,27,向顾客出售装备x{0},StaticIcon,icon_liren2,88,-1,-1,20,130001,1,-1,-1,-1,9,60001,2
1105,1,21,店主等级达到{0}级,StaticIcon,icon_liren2,15,-1,-1,2,10002,10,-1,-1,-1,17,140001,1
1201,2,10,加入任意1个联盟,StaticIcon,icon_liren2,-1,-1,-1,8,50001,1,-1,-1,-1,19,90002,10
1202,2,6,提升{0}里程碑等级至精通,StaticIcon,icon_liren2,1010,-1,-1,1,10001,4000,-1,-1,-1,19,90003,10
1203,2,18,提升{0}探险等级到{1},StaticIcon,icon_liren2,1,7,-1,21,130100,1,-1,-1,-1,19,90004,10
