id,equipment_id,equipment_name,type,sort,sort_name,level,slot1_data,slot2_data,slot3_data,slot4_data,slot5_data,slot6_data,slot7_data,slot8_data,slot9_data,slot10_data,slot11_data,slot12_data
v:number,v:number,v:string,v:number,v:number,v:string,v:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number,list:number
ID,装备id,装备名,货架小类型1-枪械架/2-冷兵器架/3-防具架/4-散件货架,辅助参数,辅助名称,等级,槽位1数据,槽位2数据,槽位3数据,槽位4数据,槽位5数据,槽位6数据,槽位7数据,槽位8数据,槽位9数据,槽位10数据,槽位11数据,槽位12数据
1100,4010,左轮手枪,1,4,icon_4010,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1101,4010,左轮手枪,1,4,icon_4010,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1102,4010,左轮手枪,1,4,icon_4010,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1103,4020,勇者战争手枪,1,4,icon_4020,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1104,4020,勇者战争手枪,1,4,icon_4020,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1105,4020,勇者战争手枪,1,4,icon_4020,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1106,4030,Z5左轮手枪,1,4,icon_4030,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1107,4030,Z5左轮手枪,1,4,icon_4030,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1108,4030,Z5左轮手枪,1,4,icon_4030,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1109,4040,幸运儿左轮手枪,1,4,icon_4040,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1110,4040,幸运儿左轮手枪,1,4,icon_4040,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1111,4040,幸运儿左轮手枪,1,4,icon_4040,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1112,4050,废土之鹰,1,4,icon_4050,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1113,4050,废土之鹰,1,4,icon_4050,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1114,4050,废土之鹰,1,4,icon_4050,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1115,4060,暗杀者手枪,1,4,icon_4060,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1116,4060,暗杀者手枪,1,4,icon_4060,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1117,4060,暗杀者手枪,1,4,icon_4060,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1118,4070,末世UZI,1,4,icon_4070,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1119,4070,末世UZI,1,4,icon_4070,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1120,4070,末世UZI,1,4,icon_4070,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1121,4080,M18手枪,1,4,icon_4080,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1122,4080,M18手枪,1,4,icon_4080,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1123,4080,M18手枪,1,4,icon_4080,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
1124,4140,蝎式手枪,1,4,icon_4140,1,0.15:-0.129:0.866:0,0.15:0.061:0.953:0,,,,,,,,,,
1125,4140,蝎式手枪,1,4,icon_4140,2,0.15:-0.06300002:0.952:0,0.15:0.385:1.17:0,,,,,,,,,,
1126,4140,蝎式手枪,1,4,icon_4140,3,0.15:0.079:0.798:0,0.15:0.087:0.624:0,,,,,,,0.15:0.109:0.445:0,,,
