id,item_id,num,desc
v:number,v:number,v:number,v:string
序号,物品id,物品数量,描述
1,10001,10,新币10个
2,10002,11,金条11个
3,10004,12,图纸碎片12个
4,20001,13,铁13个
5,20002,14,木14个
6,20003,15,皮15个
7,20004,16,化学药剂16个
8,30001,17,辐射血液17个
9,30002,18,变异骨头18个
10,30003,19,工程塑料19个
11,30004,20,变异树脂20个
12,30018,21,能量晶体21个
13,30019,22,单晶矿22个
14,30020,23,稀有结核23个
15,60001,24,补给箱IC卡24个
16,60002,25,密码箱IC卡25个
17,60003,26,保险柜钥匙26个
18,90001,27,普通转职证书27个
19,90002,28,护卫进阶凭证28个
20,90003,29,突击手进阶凭证29个
21,90004,30,指挥官进阶凭证30个
22,90005,31,射手进阶凭证31个
23,90009,32,教授进阶凭证32个
24,90010,33,修士进阶凭证33个
25,90011,34,精英转职证书34个
26,90012,35,王牌转职证书35个
27,90013,36,传奇转职证书36个
28,130102,37,高级探测器37个
29,130200,38,初级战斗辅助器38个
30,130201,39,中级战斗辅助器39个
31,130202,40,高级战斗辅助器40个
32,130300,41,初级战斗手册41个
33,130301,42,中级战斗手册42个
34,130302,43,高级战斗手册43个
35,130400,44,维修工具44个
36,140001,45,幸运转盘45个
37,150001,46,恢复药水46个
38,10001,10,新币10个
39,10002,11,金条11个
40,10004,12,图纸碎片12个
41,20001,13,铁13个
42,20002,14,木14个
43,20003,15,皮15个
44,20004,16,化学药剂16个
45,30001,17,辐射血液17个
46,30002,18,变异骨头18个
47,30003,19,工程塑料19个
48,30004,20,变异树脂20个
49,30018,21,能量晶体21个
50,30019,22,单晶矿22个
51,30020,23,稀有结核23个
52,60001,24,补给箱IC卡24个
53,60002,25,密码箱IC卡25个
54,60003,26,保险柜钥匙26个
55,90001,27,普通转职证书27个
56,90002,28,护卫进阶凭证28个
57,90003,29,突击手进阶凭证29个
58,90004,30,指挥官进阶凭证30个
59,90005,31,射手进阶凭证31个
60,90009,32,教授进阶凭证32个
61,90010,33,修士进阶凭证33个
62,90011,34,精英转职证书34个
63,90012,35,王牌转职证书35个
64,90013,36,传奇转职证书36个
65,130102,37,高级探测器37个
66,130200,38,初级战斗辅助器38个
67,130201,39,中级战斗辅助器39个
68,130202,40,高级战斗辅助器40个
69,130300,41,初级战斗手册41个
70,130301,42,中级战斗手册42个
71,130302,43,高级战斗手册43个
72,130400,44,维修工具44个
73,140001,45,幸运转盘45个
74,150001,46,恢复药水46个
75,10001,10,新币10个
76,10002,11,金条11个
77,10004,12,图纸碎片12个
78,20001,13,铁13个
79,20002,14,木14个
80,20003,15,皮15个
81,20004,16,化学药剂16个
82,30001,17,辐射血液17个
83,30002,18,变异骨头18个
84,30003,19,工程塑料19个
85,30004,20,变异树脂20个
86,30018,21,能量晶体21个
87,30019,22,单晶矿22个
88,30020,23,稀有结核23个
89,60001,24,补给箱IC卡24个
90,60002,25,密码箱IC卡25个
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
