id,task_group,pre_group_id,task_type,group_name,atlas,icon,des,des_2,condition_id,parameter_num,award_1_type,award_1_id,award_1_num,task_scenes,task_guide_1,task_guide_2,task_guide_3,task_guide_4,task_guide_5,dialog
v:number,v:number,v:number,v:number,v:string,v:string,v:string,v:string,v:string,v:number,v:number,v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:number,v:number,v:string
id,任务组,前置任务组id,任务类型(1-制作指定ID的装备X件/2-升级指定类型的家具达到X级/3-放置指定id的家具X个/4-招募指定ID的工匠/9-任意一名英雄穿戴X件装备/10-指定副本组派遣X个英雄/11-指定副本组达到X级/12-店铺升级到X级/18-加价卖出任意装备X件/19-折扣卖出任意装备X件/20-购买X个任意货架/21-升级X次任意货架/22-购买X个任意装饰/23-闲聊X次),任务组名字,任务图集,任务icon,任务描述-主界面,任务描述-详情,完成条件对应_ID,任务完成所需数量,类别(分类:1-金币资源/2-钻石资源/3-能量资源/4-图纸资源/5-可生产资源/6-副本资源/7-袋子资源/8-宝箱资源/9-钥匙资源/10-融合石资源/11-城市突袭成就资源/12-勇士币/13-英雄/14-工匠/15-特殊装备材料/16-指定装备的图纸/17-转盘开启消耗/18-英雄经验卡/19-英雄转职道具/20-副本减少冒险与休息时间道具/21-副本增加产量道具/22-副本攻击加成道具/23-恢复英雄道具/24-副本经验获得加成道具/25-修复装备道具/26-直接获得装备/27-活跃度/28-礼包/29-联盟币/30-联盟积分/31-联盟声望/40-家具/41-店主装饰/42-英雄卡/43-制作槽位数/44-冒险队列数/45-店铺等级/46-英雄栏位数/47-交易栏位数/48-巧匠奖杯),任务组奖励_1_id,任务组奖励_1_数量,任务所在场景,任务引导1点击区域,任务引导2点击区域,任务引导3点击区域,任务引导4点击区域,任务引导5点击区域,首步引导找不到展示对话
1,1,-1,1,布置热武器架,Equip_Icon01_atlas,icon_1010,制作<color=#FFC923>砍刀</color>×4来解锁 左轮手枪,制作<color=#FFC923>砍刀</color>×4来解锁 左轮手枪,1010,4,2,10002,10,IndoorScene,20002,34003,20004,,,
2,1,-1,1,布置热武器架,Equip_Icon01_atlas,icon_4010,制作<color=#FFC923>左轮手枪</color>×1,制作<color=#FFC923>左轮手枪</color>×1,4010,1,2,10002,10,IndoorScene,20002,34003,20004,,,
3,1,-1,3,布置热武器架,FurnitureIcon_01_atlas,icon_rwqj_27001,<color=#FFC923>设计</color>-<color=#FFC923>家具</color>中购买1个<color=#FFC923>初级枪械货架</color>,<color=#FFC923>设计</color>-<color=#FFC923>家具</color>中购买1个<color=#FFC923>初级枪械货架</color>,27001,1,2,10002,10,IndoorScene,10012,10013,20015,22016,,通过卖出装备给顾客可以获得店主经验，卖出装备等阶越高，获得的经验奖励越多
4,2,1,3,添点绿意,FurnitureIcon_01_atlas,icon_shinei_13018,店铺内拥有1个<color=#FFC923>花盆</color>装饰,店铺内拥有1个<color=#FFC923>花盆</color>装饰,13016,1,2,10002,10,IndoorScene,10012,10013,20015,22016,,
5,3,2,18,商业技巧,task_atlas,task_zhangjia,向1名顾客<color=#FFC923>消耗能量加成收益</color>,向1名顾客<color=#FFC923>消耗能量加成收益</color>,-1,1,2,10002,10,IndoorScene,26034,20035,20037,,,消耗能量出售商品给顾客，可以获得双倍利润。
6,3,2,23,商业技巧,task_atlas,task_xianliao,与1名顾客<color=#FFC923>闲聊</color>获得能量,与1名顾客<color=#FFC923>闲聊</color>获得能量,-1,1,2,10002,10,IndoorScene,26034,20038,20037,,,与顾客闲聊可能会获得能量哦~
7,3,2,19,商业技巧,task_atlas,task_zhekou,向1名顾客<color=#FFC923>折扣</color>出售装备,向1名顾客<color=#FFC923>折扣</color>出售装备,-1,1,2,10002,10,IndoorScene,26034,20036,20037,,,折扣卖出装备给顾客，可以获得大量能量！
8,4,3,21,经营提升,shopdesign_atlas,jiaju_lvjiantou,升级任意1个<color=#FFC923>货架</color>,升级任意1个<color=#FFC923>货架</color>,-1,1,2,10002,10,IndoorScene,,,,,,
