languages_game,languages_CN,languages_TC,languages_EN
游戏内语言,简体中文,繁体中文,英文
物品阶数-,物品阶数-,物品階數-,Tier-
物品阶数-,物品阶数-,物品階數-,Tier-
物品阶数+,物品阶数+,物品階數+,Tier+
物品价值-,物品价值-,物品價值-,Value-
物品价值+,物品价值+,物品價值+,Value+
稀有度,稀有度,稀有度,Quality
最近,最近,最近,Recent
类型,类型,類型,Type
数量,数量,數量,Quantity
排序方式：,排序方式：,排序方式：,Sort by:
获取装备列表失败!,获取装备列表失败!,獲取裝備列表失敗!,Equipment list loading failed
获取购买时装列表失败!,获取购买时装列表失败!,獲取購買時裝列表失敗!,Fashion list loading failed
获取自定义回调失败!,获取自定义回调失败!,獲取自定義回調失敗!,Custom callback loading failed
解锁图纸需要碎片不足,解锁图纸需要碎片不足,解鎖圖紙需要碎片不足,Insufficient Mystic Shards
建造,建造,建造,Build
地板,地板,地板,Flooring
一天时间周期(分钟),一天时间周期(分钟),一天時間周期(分鐘),Time(min)
未解锁,未解锁,未解鎖,Locked
招募,招募,招募,Recruit
新币不足,新币不足，快去卖给顾客装备来赚取新币吧！,新幣不足，快去賣給顧客裝備來賺取新幣吧！,Insufficient new dollar
等级不够,等级不够,等級不夠,Insufficient level
金条不够,金条不够,金條不夠,Insufficient gold bars
我走不到柜台啊,我走不到柜台啊,我走不到櫃臺啊,Can't reach the counter
店主到不了柜台，无法交易,店主到不了柜台，无法交易,店主到不了櫃臺，無法交易,Only can trade at the counter
想堵住我，没门！,想堵住我，没门！,想堵住我，沒門！,You can't stop me!
登录失败!,登录失败!,登錄失敗!,Login failed!
用户名不能为空！,用户名不能为空！,用戶名不能為空！,Username required
建筑物 {0} 尚未解锁,建筑物 {0} 尚未解锁,建築物 {0} 尚未解鎖,Building {0} has not been unlocked
无,无,無,None
我是一个测试语句,我是一个测试语句,我是一個測試語句,I am a test statement
更新装备数据失败!,更新装备数据失败!,更新裝備數據失敗!,Failed to update equipment data!
需要更高的工匠等级,需要更高的工匠等级,需要更高的工匠等級,Require higher level
没有空的槽,没有空的栏位，请扩充更多栏位！,沒有空的欄位，請擴充更多欄位！,No empty slots
开始制作,开始制作,開始製作,Start crafting 
仓库已满，请升级您的保险柜！,仓库已满，请升级您的保险柜！,倉庫已滿，請升級您的保險櫃！,Inventory is full， upgrade the Loker
请求扩建失败！,请求扩建失败！,請求擴建失敗！,Expansion request failed!
家具升级失败！,家具升级失败！,家具升級失敗！,Furniture upgrade failed!
背包数据获取失败!,背包数据获取失败!,背包數據獲取失敗!,Inventory loading failed!
当前没有空余槽位,当前没有空余栏位,當前沒有空余欄位,No empty slots
已达到最大面积不可扩建,已达到最大面积不可扩建,已達到最大面積不可擴建,Reached the maximum area!
请先加入一个联盟,请先加入一个联盟,請先加入一個聯盟,Please join a guild first
已加入联盟 {0},已加入联盟 {0},已加入聯盟 {0},Joined the guild {0}
已退出联盟,已退出联盟,已退出聯盟,Has left the guild
店主等级不足,店主等级不足,店主等級不足,Shopkeeper level too low
就绪,就绪,就緒,Ready
需要{0}达到{1}级,需要{0}达到{1}级,需要{0}達到{1}級,Require {0} Lv{1}
已升至最高级,已升至最高级,已升至最高級,Already Max Level
仓库容量,仓库容量,倉庫容量,Capacity
堆叠上限,堆叠上限,堆疊上限,Max stack：
大小,大小,大小,Size
售卖获得的能量,售卖获得的能量,售賣獲得的能量,Energy from sales
能量上限,能量上限,能量上限,Max Energy
容量,容量,容量,Capacity
升级时间,升级时间,升級時間,Upgrade
密码,密码,密碼,Password
用户名,用户名,用戶名,Username
输入用户名,输入用户名,輸入用戶名,Input username
登录,登录,登錄,Log in
请先达到2级,请先达到2级,請先達到2級,need reach level2 first
重置任务,重置任务,重置任務,Reset Task
刷新机会用尽，下次倒计时：{0},刷新机会用尽，下次倒计时：{0},刷新機會用盡，下次倒計時：{0},Refresh runningout，next:{0}
您还有{0}次刷新机会，确定要刷新当前的这个任务吗？,您还有{0}次刷新机会，确定要刷新当前的这个任务吗？,您還有{0}次刷新機會，確定要刷新當前的這個任務嗎？,Refresh remain {0} times， still want to refresh it?
已完成,已完成,已完成,Completed
动画,动画,動畫,Animation
阶级,阶级,階級,Tier
价值,价值,價值,Value
排序方式：{0},排序方式：{0},排序方式：{0},Sort by: {0}
容量：,容量：,容量：,Capacity：
堆叠上限：,堆叠上限：,堆疊上限：,Max stack：
面板,面板,面板,Panel
品质,品质,品質,Quality
下次领奖:{0},下次领奖:{0},下次領獎:{0},Next rewards:{0}
可领奖,可领奖,可領獎,Claim
-更改玩家名字-,-更改玩家名字-,-更改玩家名字-,-Change player name-
-打开面板动画-,-打开面板动画-,-打開面板動畫-,-Open animation-
免费剩余,免费剩余,免費剩余,Free
改变,改变,改變,Change
不能和当前姓名一致,不能和当前姓名一致,不能和當前姓名一致,Cannot use the same name
名称不能为空,名称不能为空,名稱不能為空,Name is required
确认,确认,確認,Confirm
和当前姓名一致,和当前姓名一致,和當前姓名一致,Same as current name
金条数量不够,金条数量不够,金條數量不夠,Insufficient gold bars
改造,改造,改造,Development
研究,研究,研究,Research
确定,确定,確定,Confirm
升级,升级,升級,Upgrade
后,后,後,After
已满级,已满级,已滿級,Max Level
<size=26>联盟技术</size>,<size=26>联盟技术</size>,<size=26>聯盟技術</size>,<size=26>Guild Tech</size>
所需次数,所需次数,所需次數,Required times
联盟技术,联盟技术,聯盟技術,Guild Tech
建筑物已达到最高级,建筑物已达到最高级,建築物已達到最高級,Reached max level
金条不足,金条不足,金條不足,Insufficient gold bars
需要{0}等级达到{1}级,需要{0}等级达到{1}级,需要{0}等級達到{1}級,Require {0} Lv{1}
店主等级达到{0}级,店主等级达到{0}级,店主等級達到{0}級,Require Shopkeeper's Lv{0}
{0}升级到了等级{1}！,{0}升级到了等级{1}！,{0}升級到了等級{1}！,{0} is upgraded to Lv.{1}!
投资,投资,投資,Investment
已解锁,已解锁,已解鎖,Unlocked
需{0}等级达到{1},需{0}等级达到{1},需{0}等級達到{1},Requires {0} to reach Lv{1}
需店主等级达到{0},需店主等级达到{0},需店主等級達到{0},Requires shopkeeper level to reach {0}
需解锁工匠{0},需解锁工匠{0},需解鎖工匠{0},Need to unlock Worker {0}
槽位已满,栏位已满！,欄位已滿！,Slot full
店主达到{0}级可解锁,店主达到{0}级可解锁！,店主達到{0}級可解鎖！,Shopkeeper reach Lv{0} to unlock
英雄,英雄,英雄,Hero
-窗口UI-,-窗口UI-,-窗口UI-,-Window UI-
-外观-,-外观-,-外觀-,-Appearance-
-类型二-,-类型二-,-類型二-,-Type two-
-输入姓名-,-输入姓名-,-輸入姓名-,-Enter name-
名称中包含敏感词汇！,名称中包含敏感词汇！,名稱中包含敏感詞匯！,The name contains sensitive words!
附件,附件,附件,Attachment
反馈问题要在5-200字之间,反馈问题要在5-200字之间,反饋問題要在5-200字之間,Feedback content should be between 10-400 characters
距下次反馈问题还需{0}秒,距下次反馈问题还需{0}秒,距下次反饋問題還需{0}秒,The next feedback is in {0} seconds
反馈成功,反馈成功,反饋成功,Feedback success
后过期,后过期,後過期,Expires in 
免费,免费,免費,Free
信息面板,信息面板,信息面板,Info panel
熟练度面板,熟练度面板,熟練度面板,Proficiency panel
需{0}达到{1}级,需{0}达到{1}级,需{0}達到{1}級,Need {0} to reach Lv{1}
搜索,开启,開啟,Open
前往,前往,前往,Go
级,级,級,Level
能量不足,能量不足,能量不足,Insufficient energy
正在制作中...,正在制作中...,正在製作中...,Crafting...
制作完成,制作完成,製作完成,Complete
剩余,剩余,剩余,Remaining
捆,捆,捆,Bundle
补充,补充,補充,Refill
请先摆放对应的资源篮,请先摆放对应的资源箱！,請先擺放對應的資源箱！,Please place the resource bin first!
制作图标,制作图标,製作圖標,Craft icon
制作,制作,製作,Craft
领取,领取,領取,Claim
秒,秒,秒,s 
收取！,收取！,收取！,Receive!
您的图纸碎片不足,您的图纸碎片不足,您的圖紙碎片不足,Insufficient Mystic Shards
正在分解{0},正在分解{0},正在分解{0},Recycling{0}
要分解{0}吗？,要分解{0}吗？,要分解{0}嗎？,Do you want to recycle {0}?
你必须招募,你必须招募,你必須招募,You must recruit
，方可解锁此图纸,，方可解锁此图纸！,，方可解鎖此圖紙！,， to unlock this blueprint!
新币不够,新币不够,新幣不夠,Insufficent new dollar
已达上限,已达上限,已達上限,Max Level
冒险完成!,冒险完成!,冒險完成!,Quest Complete!
冒险失败,冒险失败,冒險失敗,Quest failure
{0}级,{0}级,{0}級,Lv{0}
花费,花费,花費,Spend
{0}到达{1}级可解锁,{0}到达{1}级可解锁,{0}到達{1}級可解鎖,{0} Lv{1} Unlock
到达,到达,到達,Reach
可解锁,可解锁,可解鎖,Can unlock
{0}级解锁,{0}级解锁,{0}級解鎖,Unlocked at Lv{0}
解锁,解锁,解鎖,Unlock
{0}已移除,{0}已移除,{0}已移除,{0} has been removed
已移除,已移除,已移除,Removed
请先选择英雄参战,请先选择英雄参战,請先選擇英雄參戰,Select a hero to join the battle
没有穿戴装备不可出战,没有穿戴装备不可出战,沒有穿戴裝備不可出戰,Cannot join the battle without wearing equipment
探索,探索,探索,Quest
{0}添加为强化品,{0}添加为强化品,{0}添加為強化品,{0} is added as a booster
