level,type,item_des,item_compare_des,need_level,next_level_point,need_point,add_task_num,common_material,unreal_material,precious_material,hot_shelf,define_shelf,cold_shelf,other_shelf,ware_house_add,stack_add,make_add,adv_add,material_add,exp_add,buy_add,sell_add,common_material_recover,unreal_material_recover,precious_material_recover,name,desc,atlas,icon
v:number,v:number,v:string,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:string,v:string,v:string
等级,大类描述：1-悬赏牌容量增加；3-常见资源篮子容量；4-稀有资源容量；5-罕见资源容量；6-热武器货架能量；7-防具货架；8-冷兵器架；9-其他货架；10-仓库容量；11-堆叠数量；12-制作加速（技能）；13-冒险加速（技能）；14-经验强化（技能）；15资源回复强化（技能）；16-市场请求-买入的堆叠数量；17-市场报价-卖出的堆叠数量；18-常见资源的回复速度；19-罕见资源的回复速度；20-稀有资源的回复速度；21-联盟升级,item简要描述--考虑等级极限,item和下一级的对比描述{0}--考虑等级极限,公会等级要求,下一公会等级消耗积分字段--前端展示用,公会分数消耗,悬赏牌容量增加,常见资源篮子容量,稀有资源篮子容量,罕见资源篮子容量,热武器架能量增加,防具架能量增加,冷兵器架能量增加,杂物架能量增加,仓库容量增加,堆叠数量增加,制作强化,冒险强化,材料强化,经验强化,市场请求-买入的堆叠数量,市场报价-卖出的堆叠数量,常见资源的回复速度,罕见资源的回复速度,稀有资源的回复速度,名称,描述,图集,图标
1,21,公会等级,解锁新升级,,5,,,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
2,21,公会等级,解锁新升级,1,5,5,1,9,,,33,40,47,54,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
3,21,公会等级,解锁新升级,2,5,5,,,,,,,,,,,,,,137,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
4,21,公会等级,解锁新升级,3,5,5,,,,,,,,,61,68,,,128,,75,82,89,96,103,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
5,21,公会等级,解锁新升级,4,10,5,,,,,,,,,,,,119,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
6,21,公会等级,解锁新升级,5,10,10,2,,,,,,,,,,110,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
7,21,公会等级,解锁新升级,6,10,10,,10,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
8,21,公会等级,解锁新升级,7,10,10,,,,,34,41,48,55,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
9,21,公会等级,解锁新升级,8,10,10,,,,,,,,,62,,,,,,76,,90,,104,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
10,21,公会等级,解锁新升级,9,15,10,,,17,,,,,,,69,,,,138,,83,,97,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
11,21,公会等级,解锁新升级,10,15,15,,,,,,,,,,,,,129,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
12,21,公会等级,解锁新升级,11,15,15,,,,,,,,,,,,120,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
13,21,公会等级,解锁新升级,12,15,15,,,,,,,,,,,111,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
14,21,公会等级,解锁新升级,13,15,15,3,,,,,,,,,,,,,,,,,,,联盟等级{0},联盟等级越高解锁的福利越多,union_atlas,lianmeng_gonghui
