id,name,desc,if_special,difficulty,big_type,Equip_type,minus_level,type,type_desc,desc_help,parameter_2,reward_type,reward_number,union_reward_type,union_reward_num,level,atlas,icon,npc_id
v:number,v:string,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:string,v:number,v:number,v:number,v:number,v:number,v:number,v:string,v:string,v:number
任务ID,任务名称,任务内容,是否有特权相关0：否；1：是,难度1：简单；2：中等；3：困难,类别大类描述1：制作；2：钻石帮助；3：开启宝箱；4：收集材料；5：加价；6：折扣；7：派遣员工探索副本,装备类别,减等阶的参考数值（例如简单的是最高阶-3阶这里就是3阶，中等是最高阶-2阶）,类别,任务内容,辅助描述,完成参数2-品阶难度条件,玩家的的奖励种类-联盟积币,玩家的的联盟积币奖励,联盟的奖励种类--联盟积分,联盟的联盟积分奖励,解锁等级,图集,图标,人物id
1007,制作轻型护甲（简单）,制作{0}x{1},0,1,1,9,3,1,轻型护甲,,4,10005,8,10006,1,0,,,1
1006,制作钝器（中等）,制作{0}x{1},0,2,1,2,1,2,钝器,,6,10005,10,10006,2,0,,,8
2006,制作钝器（中等）,制作{0}x{1},0,2,1,2,2,2,钝器,,7,10005,10,10006,2,0,,,1
3006,制作钝器（简单）,制作{0}x{1},0,1,1,2,3,1,钝器,,5,10005,8,10006,1,0,,,2
1005,制作钝器（中等）,制作{0}x{1},0,2,1,2,1,2,钝器,,8,10005,10,10006,2,0,,,8
2005,制作钝器（中等）,制作{0}x{1},0,2,1,2,2,2,钝器,,9,10005,10,10006,2,0,,,1
3005,制作钝器（简单）,制作{0}x{1},0,1,1,2,3,1,钝器,,4,10005,8,10006,1,0,,,2
1003,制作利刃（简单）,制作{0}x{1},0,1,1,1,3,1,利刃,,5,10005,8,10006,1,0,,,1
2003,制作利刃（中等）,制作{0}x{1},0,2,1,1,2,2,利刃,,6,10005,10,10006,2,0,,,8
3003,制作利刃（中等）,制作{0}x{1},0,2,1,1,1,2,利刃,,7,10005,10,10006,2,0,,,7
1004,制作利刃（简单）,制作{0}x{1},0,1,1,1,3,1,利刃,,4,10005,8,10006,1,0,,,1
2004,制作利刃（中等）,制作{0}x{1},0,2,1,1,2,2,利刃,,8,10005,10,10006,2,0,,,8
3004,制作利刃（中等）,制作{0}x{1},0,2,1,1,1,2,利刃,,9,10005,10,10006,2,0,,,7
1002,制作利刃（简单）,制作{0}x{1},0,1,1,1,3,1,利刃,,5,10005,8,10006,1,0,,,1
2002,制作利刃（中等）,制作{0}x{1},0,2,1,1,2,2,利刃,,6,10005,10,10006,2,0,,,8
3002,制作利刃（中等）,制作{0}x{1},0,2,1,1,1,2,利刃,,7,10005,10,10006,2,0,,,7
1001,制作利刃（简单）,制作{0}x{1},0,1,1,1,3,1,利刃,,4,10005,8,10006,1,0,,,1
2001,制作利刃（中等）,制作{0}x{1},0,2,1,1,2,2,利刃,,8,10005,10,10006,2,0,,,8
3001,制作利刃（中等）,制作{0}x{1},0,2,1,1,1,2,利刃,,9,10005,10,10006,2,0,,,7
1,制作利刃（简单）,制作{0}x{1},0,1,1,1,3,1,利刃,,5,10005,8,10006,1,0,,,1
2,制作钝器（简单）,制作{0}x{1},0,1,1,2,3,1,钝器,,4,10005,8,10006,1,0,,,2
3,制作弓弩（简单）,制作{0}x{1},0,1,1,3,3,1,弓弩,,5,10005,8,10006,1,0,,,3
4,制作轻型武器（简单）,制作{0}x{1},0,1,1,4,3,1,轻型武器,,4,10005,8,10006,1,0,,,4
