id,type,if_bullet,vfxname,isLoop,speed,time,desc
v:number,v:number,v:number,v:string,v:number,v:number,v:number,v:string
序号,特效类型1：buff，2：技能,3 全屏 2008.2009 是发射特效，4UI特效，5场景特效,是否是飞行道具 0:否 1:是,路径&名称,是否循环,速度,持续时间-(毫秒),描述
1001,1,0,Fx_B_heal_hit,0,,800,治疗buff
1002,1,0,Fx_B_fshd,1,,800,反甲盾
1003,1,0,Fx_B_hd,1,,800,护盾
1004,1,0,FX_atkUp_B,0,,800,攻击增加
1104,1,0,FX_atk_down,0,,800,攻击减少
2024,1,0,Fx_B_defup,0,,500,防御增加
2124,1,0,Fx_B_defdown,0,,500,防御减少
1005,1,0,FX_SpeedUp_B,1,,800,攻速增加
1007,2,0,Fx_fire,1,,1000,献祭，燃烧，红色的火焰燃烧特效
1006,1,0,FX_DU_B,1,,800,中毒
1008,1,0,Fx_B_liuxue,1,,800,流血
1009,1,0,FX_Wudi_B,1,,800,无敌盾
1010,1,0,FX_Stun_B,1,,800,眩晕
1011,1,0,FX_Sleep_B,1,,800,睡眠
1012,1,0,FX_QuSan_B,0,,1200,驱散
1013,1,0,Fx_fuhuo_B,0,,1200,复活
1014,1,0,Fx_ice,1,,,冰冻特效
2001,2,0,blade_hit_001Variant,0,,200,通用受击飙血
2101,2,0,blade_hit_001Variant_orange,0,,200,通用橙色受击飙血
2201,2,0,blade_hit_001Variant_red,0,,200,通用红色受击飙血
2301,2,0,blade_hit_001Variant_purple,0,,200,通用紫色受击飙血
2049,2,0,Fx_mabi,0,,200,蓝色闪电受击麻痹特效
2002,2,0,blade_002,0,,600,白色利刃横劈刀光
2102,2,0,blade_002_blue,0,,600,蓝色色利刃横劈刀光
2202,2,0,blade_002_red,0,,600,红色色利刃横劈刀光
2003,2,0,blade_003,0,,150,橘黄色竖直刀光
2103,2,0,blade_003_blue,0,,150,蓝色竖直刀光
2203,2,0,blade_003_red,0,,150,红色竖直刀光
2303,2,0,blade_003_purple,0,,150,紫色竖直刀光
2004,2,0,blade_004,0,,300,橘红色捅刺刀光
2006,2,1,Fx_arrow_001,0,,200,通用弓弩使用特效1-金色
2007,2,1,Fx_arrow_002,0,,300,通用弓弩使用特效2-红色
2008,2,1,Fx_arrow_003,1,,300,通用弓弩使用特效3-蓝色
2012,2,1,Fx_arrow_006,1,,300,通用飞行道具流光特效3（毒）
2013,2,1,Fx_arrow_005,1,,300,通用飞行道具流光特效4（火）
2051,2,1,Fx_blade_blue_m,1,,600,蓝色飞行刀气
2052,2,1,Fx_blade_orange_m,1,,600,橘红色飞行刀气
2037,2,1,Fx_buller_bio,0,,200,毒子弹
2017,2,1,Fx_bullet_common,0,,200,通用枪械子弹
2016,2,1,Fx_bullet_common_ice,1,,250,冰子弹
2011,2,1,Fx_bullet_m001,1,,300,电子弹，魔法球
2035,2,1,Fx_missile,0,,200,橘黄色子弹流光效果
2009,2,1,Fx_bullet_m_ice,1,,300,冰魔法球，做得不对
2010,2,1,Fx_arrow_004,1,,300,发射特效，做错了
2015,2,1,Fx_bullet_m001,1,,250,橘黄色子弹流光效果-填补错误特效空档
2046,2,0,Fx_gunflash_002,0,,200,白色，粉色的枪口发射特效
