id,level,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,type_11,type_12_fur1,type_12_fur2,type_12_fur3,type_13
v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number,v:number
id,等级,1解锁新币修理装备功能,2修理装备费用,3游戏特权奖励,4副本掉落增加,5宝箱奖励增加,6储蓄罐奖励增加,7每日活跃第4奖励显示,8每日活跃第4奖励领取,9大转盘10连抽价格-10%,10钻石商城购买价格打折,11招募英雄新币价格-10%,12家具赠送1,12家具赠送2,12家具赠送3,13副本就绪后自动休息开关
1,1,1,5,1,1,0,0,1,1,1,1,0,14008,-1,-1,0
2,2,1,10,1,1,0,0,1,1,1,1,0,14008,-1,-1,0
3,3,1,15,1,1,0,0,1,1,1,1,0,14008,-1,-1,0
4,4,1,15,1,1,0,0,1,1,1,1,0,14008,14009,-1,0
5,5,1,20,1,1,0,0,1,1,1,1,0,14008,14009,-1,0
6,6,1,25,1,1,0,0,1,1,1,1,0,14008,14009,-1,0
7,7,1,25,1,1,0,0,1,1,1,1,0,14008,14009,14012,0
8,8,1,25,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
9,9,1,35,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
10,10,1,40,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
11,11,1,45,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
12,12,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
13,13,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
14,14,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
15,15,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
16,16,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
17,17,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
18,18,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
19,19,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
20,20,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
21,21,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
22,22,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
23,23,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
24,24,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
25,25,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
26,26,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
27,27,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
28,28,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
29,29,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
30,30,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
31,31,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
32,32,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
33,33,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
34,34,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
35,35,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
36,36,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
37,37,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
38,38,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
39,39,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
40,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
41,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
42,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
43,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
44,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
45,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
46,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
47,40,1,50,1,1,0,0,1,1,1,1,0,14008,14009,14012,1
