ID,opening_time,arrive_time,warrior_ID,Equipment_id,minItem_Type,maxItem_Type,item_id,minimum_num,maximum_mum
v:number,v:number,v：string,v:number,list：number,v:number,v:number,v：number,v:number,v:number
序号,出现日期,出现时间,勇士ID,装备类型ID,最小装备需求数量,最大装备需求数量,勇士币ID,获取勇士币最低值,获取勇士币最大值
1,1,0.291666666666667,1001,17,5,9,90001,5,10
2,1,0.5,1101,1,5,9,90002,5,10
3,1,0.625,1201,2,5,9,90003,5,10
4,2,0.3125,1201,12,5,9,90003,5,10
5,2,0.583333333333333,1001,15,5,9,90001,5,10
6,2,0.791666666666667,1101,3,5,9,90002,5,10
7,3,0.333333333333333,1001,21,5,9,90001,5,10
8,3,0.520833333333333,1201,16,5,9,90003,5,10
9,3,0.708333333333333,1101,10,5,9,90002,5,10
