id,name,head_icon,icon,desc,warrior_id,warrior_rank,warrior_show,item_id,cost_money,equipment_1_id,equipment_2_id,equipment_3_id,equipment_4_id,equipment_5_id,equipment_6_id,Skill_id,grade,hp,atk,def,hit,dodge
v:number,v:string,v：string,v:number,v:number,v:number,v:number,v:number,v:number,v:number,list:number,list:number,list:number,list:number,list:number,list:number,list：number,v:number,v:number,v:number,v:number,v:number,v:number
序号,英雄名称,勇士头像,大画面英雄展示id,英雄介绍,勇士id,勇士等阶,小图勇士展示图id,勇士币id,雇佣勇士币,装备插槽1_id,装备插槽2_id,装备插槽3_id,装备插槽4_id,装备插槽5_id,装备插槽6_id,技能id,总战力,生命值,攻击,防御,命中值,闪避值
1,钻石,zuanshitouxiang,1,11110,1001,1,2,90001,5,11,15,17,21,22,22,1:2:6,34,1000,4,3,50,5
2,钻石,zuanshitouxiang,1,11110,1001,2,2,90001,5,11,21,21,21,22,22,1:2:6,41,1200,5,4,60,6
3,钻石,zuanshitouxiang,1,11110,1001,3,2,90001,30,11,21,21,21,22,22,1:2:6,49,1440,6,5,72,7
4,钻石,zuanshitouxiang,1,11110,1001,4,2,90001,40,11,21,21,21,22,22,1:2:6,59,1728,7,6,86,8
5,钻石,zuanshitouxiang,2,11110,1001,5,3,90001,50,11,21,21,21,22,22,1:2:6,71,2074,8,7,103,10
6,钻石,zuanshitouxiang,2,11110,1001,6,3,90001,60,11,21,21,21,22,22,1:2:6,85,2489,10,8,124,12
7,钻石,zuanshitouxiang,2,11110,1001,7,3,90001,70,11,21,21,21,22,22,1:2:6,102,2987,12,10,149,14
8,钻石,zuanshitouxiang,2,11110,1001,8,3,90001,80,11,21,21,21,22,22,1:2:6,122,3584,14,12,179,17
9,钻石,zuanshitouxiang,2,11110,1001,9,3,90001,90,11,21,21,21,22,22,1:2:6,146,4301,17,14,215,20
10,钻石,zuanshitouxiang,3,11110,1001,10,3,90001,100,11,21,21,21,22,22,1:2:6,175,5161,20,17,258,24
11,罗德,luodetouxiang,4,1111,1101,1,5,90002,15,1:3,10,15,16,19,23,1:2:3,31,100,4,3,50,5
12,罗德,luodetouxiang,4,1111,1101,2,5,90002,5,1:3,10,15,16,19,23,1:2:3,37,120,5,4,60,6
13,罗德,luodetouxiang,4,1111,1101,3,5,90002,30,1:3,10,15,16,19,23,1:2:3,44,144,6,5,72,7
14,罗德,luodetouxiang,4,1111,1101,4,5,90002,40,1:3,10,15,16,19,23,1:2:3,53,173,7,6,86,8
15,罗德,luodetouxiang,5,1111,1101,5,6,90002,50,1:3,10,15,16,19,23,1:2:3,64,208,8,7,103,10
16,罗德,luodetouxiang,5,1111,1101,6,6,90002,60,1:3,10,15,16,19,23,1:2:3,77,250,10,8,124,12
17,罗德,luodetouxiang,5,1111,1101,7,6,90002,70,1:3,10,15,16,19,23,1:2:3,92,300,12,10,149,14
18,罗德,luodetouxiang,5,1111,1101,8,6,90002,80,1:3,10,15,16,19,23,1:2:3,110,360,14,12,179,17
19,罗德,luodetouxiang,5,1111,1101,9,6,90002,90,1:3,10,15,16,19,23,1:2:3,132,432,17,14,215,20
20,罗德,luodetouxiang,6,1111,1101,10,6,90002,100,1:3,10,15,16,19,23,1:2:3,158,518,20,17,258,24
21,费欧娜,feiounatouxiang,7,2222,1201,1,8,90003,30,2:5,12,15,16,19,18,4:5:6,60,200,4,3,50,5
22,费欧娜,feiounatouxiang,7,2222,1201,2,8,90003,15,2:5,12,15,16,19,18,4:5:6,72,240,5,4,60,6
23,费欧娜,feiounatouxiang,7,2222,1201,3,8,90003,30,2:5,12,15,16,19,18,4:5:6,86,288,6,5,72,7
24,费欧娜,feiounatouxiang,7,2222,1201,4,8,90003,40,2:5,12,15,16,19,18,4:5:6,103,346,7,6,86,8
25,费欧娜,feiounatouxiang,8,2222,1201,5,9,90003,50,2:5,12,15,16,19,18,4:5:6,124,415,8,7,103,10
26,费欧娜,feiounatouxiang,8,2222,1201,6,9,90003,60,2:5,12,15,16,19,18,4:5:6,149,498,10,8,124,12
27,费欧娜,feiounatouxiang,8,2222,1201,7,9,90003,70,2:5,12,15,16,19,18,4:5:6,179,598,12,10,149,14
28,费欧娜,feiounatouxiang,8,2222,1201,8,9,90003,80,2:5,12,15,16,19,18,4:5:6,215,718,14,12,179,17
29,费欧娜,feiounatouxiang,8,2222,1201,9,9,90003,90,2:5,12,15,16,19,18,4:5:6,258,862,17,14,215,20
30,费欧娜,feiounatouxiang,9,2222,1201,10,9,90003,100,2:5,12,15,16,19,18,4:5:6,310,1034,20,17,258,24
